2022/12/05 14:06:25 Micro started
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:35 main.c main.c
2022/12/05 14:31:51 main.c main.c
2022/12/05 14:31:51 main.c main.c
2022/12/05 14:31:51 main.c main.c
2022/12/05 14:31:51 main.c main.c
2022/12/05 14:31:51 main.c main.c
2022/12/05 14:31:51 main.c main.c
2022/12/05 14:32:20 main.c main.c
2022/12/05 14:32:20 main.c main.c
2022/12/05 14:32:20 main.c main.c
2022/12/05 14:32:20 main.c main.c
2022/12/05 14:32:20 main.c main.c
2022/12/05 14:32:20 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:32:56 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:02 main.c main.c
2022/12/05 14:36:42 main.c main.c
2022/12/05 14:36:42 main.c main.c
2022/12/05 14:36:42 main.c main.c
2022/12/05 14:36:42 main.c main.c
2022/12/05 14:36:42 main.c main.c
2022/12/05 14:36:42 main.c main.c
2022/12/05 14:37:57 main.c main.c
2022/12/05 14:37:57 main.c main.c
2022/12/05 14:37:57 main.c main.c
2022/12/05 14:37:57 main.c main.c
2022/12/05 14:37:57 main.c main.c
2022/12/05 14:37:57 main.c main.c
2022/12/05 14:38:22 main.c main.c
2022/12/05 14:38:22 main.c main.c
2022/12/05 14:38:22 main.c main.c
2022/12/05 14:38:22 main.c main.c
2022/12/05 14:38:22 main.c main.c
2022/12/05 14:38:58 main.c main.c
2022/12/05 14:38:58 main.c main.c
2022/12/05 14:38:58 main.c main.c
2022/12/05 14:38:58 main.c main.c
2022/12/05 14:39:23 main.c main.c
2022/12/05 14:39:23 main.c main.c
2022/12/05 14:39:23 main.c main.c
2022/12/05 14:39:23 main.c main.c
2022/12/05 14:39:32 main.c main.c
2022/12/05 14:39:32 main.c main.c
2022/12/05 14:39:32 main.c main.c
2022/12/05 14:39:32 main.c main.c
2022/12/05 14:39:39 main.c main.c
2022/12/05 14:39:39 main.c main.c
2022/12/05 14:39:39 main.c main.c
2022/12/05 14:39:39 main.c main.c
2022/12/05 14:40:48 main.c main.c
2022/12/05 14:40:48 main.c main.c
2022/12/05 14:40:48 main.c main.c
2022/12/05 14:40:48 main.c main.c
2022/12/05 14:41:51 main.c main.c
2022/12/05 14:41:51 main.c main.c
2022/12/05 14:41:51 main.c main.c
2022/12/05 14:41:51 main.c main.c
2022/12/05 14:42:28 main.c main.c
2022/12/05 14:42:28 main.c main.c
2022/12/05 14:42:28 main.c main.c
2022/12/05 14:42:28 main.c main.c
2022/12/05 14:43:19 main.c main.c
2022/12/05 14:43:19 main.c main.c
2022/12/05 14:43:19 main.c main.c
2022/12/05 14:43:19 main.c main.c
2022/12/05 14:43:40 main.c main.c
2022/12/05 14:43:40 main.c main.c
2022/12/05 14:43:40 main.c main.c
2022/12/05 14:43:40 main.c main.c
2022/12/05 14:43:44 main.c main.c
2022/12/05 14:43:44 main.c main.c
2022/12/05 14:43:44 main.c main.c
2022/12/05 14:43:44 main.c main.c
2022/12/05 14:44:27 main.c main.c
2022/12/05 14:44:27 main.c main.c
2022/12/05 14:44:27 main.c main.c
2022/12/05 14:44:27 main.c main.c
2022/12/05 14:45:06 main.c main.c
2022/12/05 14:45:06 main.c main.c
2022/12/05 14:45:06 main.c main.c
2022/12/05 14:45:06 main.c main.c
2022/12/05 14:45:20 main.c main.c
2022/12/05 14:45:20 main.c main.c
2022/12/05 14:45:20 main.c main.c
2022/12/05 14:45:20 main.c main.c
2022/12/05 14:46:02 main.c main.c
2022/12/05 14:46:02 main.c main.c
2022/12/05 14:46:02 main.c main.c
2022/12/05 14:46:02 main.c main.c
2022/12/05 14:46:38 main.c main.c
2022/12/05 14:46:38 main.c main.c
2022/12/05 14:46:38 main.c main.c
2022/12/05 14:46:38 main.c main.c
2022/12/05 14:47:28 main.c main.c
2022/12/05 14:47:28 main.c main.c
2022/12/05 14:47:28 main.c main.c
2022/12/05 14:47:28 main.c main.c
2022/12/05 14:48:25 main.c main.c
2022/12/05 14:48:25 main.c main.c
2022/12/05 14:48:25 main.c main.c
2022/12/05 14:48:25 main.c main.c
2022/12/05 14:48:30 main.c main.c
2022/12/05 14:48:30 main.c main.c
2022/12/05 14:48:30 main.c main.c
2022/12/05 14:48:30 main.c main.c
2022/12/05 14:51:53 main.c main.c
2022/12/05 14:51:53 main.c main.c
2022/12/05 14:51:53 main.c main.c
2022/12/05 14:51:53 main.c main.c
2022/12/05 14:52:23 main.c main.c
2022/12/05 14:52:23 main.c main.c
2022/12/05 14:52:23 main.c main.c
2022/12/05 14:52:23 main.c main.c
2022/12/05 14:52:30 main.c main.c
2022/12/05 14:52:30 main.c main.c
2022/12/05 14:52:30 main.c main.c
2022/12/05 14:52:30 main.c main.c
2022/12/05 14:52:56 main.c main.c
2022/12/05 14:52:56 main.c main.c
2022/12/05 14:52:56 main.c main.c
2022/12/05 14:52:56 main.c main.c
2022/12/05 14:53:28 main.c main.c
2022/12/05 14:53:28 main.c main.c
2022/12/05 14:53:28 main.c main.c
2022/12/05 14:53:28 main.c main.c
2022/12/05 14:54:56 main.c main.c
2022/12/05 14:54:56 main.c main.c
2022/12/05 14:54:56 main.c main.c
2022/12/05 14:54:56 main.c main.c
2022/12/05 14:55:48 main.c main.c
2022/12/05 14:55:48 main.c main.c
2022/12/05 14:55:48 main.c main.c
2022/12/05 14:55:48 main.c main.c
2022/12/05 14:55:59 main.c main.c
2022/12/05 14:55:59 main.c main.c
2022/12/05 14:55:59 main.c main.c
2022/12/05 14:55:59 main.c main.c
2022/12/05 14:56:24 main.c main.c
2022/12/05 14:56:24 main.c main.c
2022/12/05 14:56:24 main.c main.c
2022/12/05 14:56:24 main.c main.c
2022/12/05 14:56:43 main.c main.c
2022/12/05 14:56:43 main.c main.c
2022/12/05 14:56:43 main.c main.c
2022/12/05 14:56:43 main.c main.c
2022/12/05 14:58:11 main.c main.c
2022/12/05 14:58:11 main.c main.c
2022/12/05 14:58:11 main.c main.c
2022/12/05 14:58:11 main.c main.c
2022/12/05 14:58:11 main.c main.c
2022/12/05 14:59:00 main.c main.c
2022/12/05 14:59:00 main.c main.c
2022/12/05 14:59:00 main.c main.c
2022/12/05 14:59:00 main.c main.c
2022/12/05 14:59:13 main.c main.c
2022/12/05 14:59:13 main.c main.c
2022/12/05 14:59:13 main.c main.c
2022/12/05 14:59:13 main.c main.c
2022/12/05 14:59:23 main.c main.c
2022/12/05 14:59:23 main.c main.c
2022/12/05 14:59:23 main.c main.c
2022/12/05 14:59:23 main.c main.c
2022/12/05 14:59:36 main.c main.c
2022/12/05 14:59:36 main.c main.c
2022/12/05 14:59:36 main.c main.c
2022/12/05 14:59:36 main.c main.c
2022/12/05 14:59:47 main.c main.c
2022/12/05 14:59:47 main.c main.c
2022/12/05 14:59:47 main.c main.c
2022/12/05 14:59:47 main.c main.c
2022/12/05 15:00:05 main.c main.c
2022/12/05 15:00:05 main.c main.c
2022/12/05 15:00:05 main.c main.c
2022/12/05 15:00:05 main.c main.c
2022/12/05 15:00:12 main.c main.c
2022/12/05 15:00:12 main.c main.c
2022/12/05 15:00:12 main.c main.c
2022/12/05 15:00:12 main.c main.c
2022/12/05 15:00:26 main.c main.c
2022/12/05 15:00:26 main.c main.c
2022/12/05 15:00:26 main.c main.c
2022/12/05 15:00:26 main.c main.c
2022/12/05 15:00:37 main.c main.c
2022/12/05 15:00:37 main.c main.c
2022/12/05 15:00:37 main.c main.c
2022/12/05 15:00:37 main.c main.c
2022/12/05 15:01:50 main.c main.c
2022/12/05 15:01:50 main.c main.c
2022/12/05 15:01:50 main.c main.c
2022/12/05 15:01:50 main.c main.c
2022/12/05 15:02:03 main.c main.c
2022/12/05 15:02:03 main.c main.c
2022/12/05 15:02:03 main.c main.c
2022/12/05 15:02:03 main.c main.c
2022/12/05 15:02:45 main.c main.c
2022/12/05 15:02:45 main.c main.c
2022/12/05 15:02:45 main.c main.c
2022/12/05 15:02:45 main.c main.c
2022/12/05 15:05:39 main.c main.c
2022/12/05 15:05:39 main.c main.c
2022/12/05 15:05:39 main.c main.c
2022/12/05 15:05:39 main.c main.c
2022/12/05 15:11:13 main.c main.c
2022/12/05 15:11:13 main.c main.c
2022/12/05 15:11:13 main.c main.c
2022/12/05 15:11:13 main.c main.c
2022/12/05 15:12:00 main.c main.c
2022/12/05 15:12:00 main.c main.c
2022/12/05 15:12:00 main.c main.c
2022/12/05 15:12:00 main.c main.c
2022/12/05 15:12:32 main.c main.c
2022/12/05 15:12:32 main.c main.c
2022/12/05 15:12:32 main.c main.c
2022/12/05 15:12:32 main.c main.c
2022/12/05 15:12:40 main.c main.c
2022/12/05 15:12:40 main.c main.c
2022/12/05 15:12:40 main.c main.c
2022/12/05 15:12:40 main.c main.c
